Old "immediate" rendering-
GPU Scene: 3.39046ms
GPU Scene: 3.84102ms
GPU Scene: 3.85126ms
GPU Scene: 3.37306ms
GPU Scene: 3.31776ms
GPU Scene: 3.30342ms
GPU Scene: 3.31878ms
GPU Scene: 3.33414ms
GPU Scene: 3.36896ms

New "triangle soup" rendering-
GPU Scene: 2.72077ms
GPU Scene: 2.7351ms
GPU Scene: 2.72282ms
GPU Scene: 2.75046ms
GPU Scene: 2.74534ms
GPU Scene: 2.72998ms
GPU Scene: 2.74739ms
GPU Scene: 2.75661ms
GPU Scene: 2.74227ms

Frustum culling-
GPU Scene: 2.34086ms
GPU Scene: 2.34394ms
GPU Scene: 2.71053ms
GPU Scene: 2.33677ms
GPU Scene: 2.3296ms
GPU Scene: 2.40538ms
GPU Scene: 2.36339ms
GPU Scene: 2.36237ms
GPU Scene: 2.35725ms
GPU Scene: 2.37875ms

Shadow map fustrum culling-
GPU Scene: 1.27898ms
GPU Scene: 1.31379ms
GPU Scene: 1.27488ms
GPU Scene: 1.27386ms
GPU Scene: 1.28102ms
GPU Scene: 1.27795ms
GPU Scene: 1.30253ms
GPU Scene: 1.3056ms
GPU Scene: 1.3015ms
GPU Scene: 1.32506ms

Depth pre pass-
GPU Scene: 1.57901ms
GPU Scene: 1.58822ms
GPU Scene: 1.58515ms
GPU Scene: 2.45965ms
GPU Scene: 1.60256ms
GPU Scene: 1.58822ms
GPU Scene: 2.44838ms
GPU Scene: 1.59027ms
GPU Scene: 1.61587ms
GPU Scene: 1.61997ms
